idna_subject,checker_type,destination,tested_at
30,AVAILABILITY,domains.list,2021-08-15 10:41:17.796720
185.193.38.74,AVAILABILITY,domains.list,2021-08-15 10:41:38.061154
104.18.36.98,AVAILABILITY,domains.list,2021-08-15 10:41:58.221136
2019-12-16,AVAILABILITY,domains.list,2021-08-15 10:41:58.328186
ip,AVAILABILITY,domains.list,2021-08-15 10:42:03.674910
last,AVAILABILITY,domains.list,2021-08-15 10:42:03.814139
updated,AVAILABILITY,domains.list,2021-08-15 10:42:03.957988
this,AVAILABILITY,domains.list,2021-08-15 10:42:04.182434
file,AVAILABILITY,domains.list,2021-08-15 10:42:04.318926
be,AVAILABILITY,domains.list,2021-08-15 10:42:04.753194
will,AVAILABILITY,domains.list,2021-08-15 10:42:04.979634
daily,AVAILABILITY,domains.list,2021-08-15 10:42:10.325234
populated,AVAILABILITY,domains.list,2021-08-15 10:42:10.506545
automatically,AVAILABILITY,domains.list,2021-08-15 10:42:10.678886
and,AVAILABILITY,domains.list,2021-08-15 10:42:10.838438
with,AVAILABILITY,domains.list,2021-08-15 10:42:10.972544
the,AVAILABILITY,domains.list,2021-08-15 10:42:11.137403
days,AVAILABILITY,domains.list,2021-08-15 10:42:16.528099
of,AVAILABILITY,domains.list,2021-08-15 10:42:16.660330
malicious,AVAILABILITY,domains.list,2021-08-15 10:42:16.801604
addresses.,AVAILABILITY,domains.list,2021-08-15 10:42:16.913466
//,AVAILABILITY,domains.list,2021-08-15 10:42:17.013600
